key,value,run_uuid
stock,AAPL,0b93b36f8e1240319a2ac983b8f29575
year_back,5,0b93b36f8e1240319a2ac983b8f29575
start_date,2020-07-20,0b93b36f8e1240319a2ac983b8f29575
end_date,2025-07-20,0b93b36f8e1240319a2ac983b8f29575
n_days,30,a44d24dcbe064051b41f969cafeb0437
n_simulations,1000,a44d24dcbe064051b41f969cafeb0437
model,"ARIMA(5,1,0)",a5a39e96571f431c81a0f3c568c9c568
n_days,30,a5a39e96571f431c81a0f3c568c9c568
last_date,1970-01-01 00:00:00.000001255,a5a39e96571f431c81a0f3c568c9c568
expected_price,211.1825081751612,a44d24dcbe064051b41f969cafeb0437
mu,0.0006314186770748824,a44d24dcbe064051b41f969cafeb0437
sigma,0.018726959696545382,a44d24dcbe064051b41f969cafeb0437
model,LSTM (transformer alternative),84407ce9c4d24dbf8205d96a6ae78979
days_to_predict,30,84407ce9c4d24dbf8205d96a6ae78979
last_date,1970-01-01 00:00:00.000001255,84407ce9c4d24dbf8205d96a6ae78979
model_1,MonteCarlo,c27aa6c1f5f343cea5e394aa42300e3d
model_2,ARIMA,c27aa6c1f5f343cea5e394aa42300e3d
model_3,LSTM,c27aa6c1f5f343cea5e394aa42300e3d
stock,AAPL,260869880a3148149949631816a19515
year_back,5,260869880a3148149949631816a19515
start_date,2020-07-20,260869880a3148149949631816a19515
end_date,2025-07-20,260869880a3148149949631816a19515
n_days,30,4c73f849621e42329f0a494190e21389
n_simulations,1000,4c73f849621e42329f0a494190e21389
expected_price,211.12317990214603,4c73f849621e42329f0a494190e21389
mu,0.0006314188042411063,4c73f849621e42329f0a494190e21389
sigma,0.018726963458614555,4c73f849621e42329f0a494190e21389
model,"ARIMA(5,1,0)",c8aeacdde6e949a3bb927a9072770d1c
n_days,30,c8aeacdde6e949a3bb927a9072770d1c
last_date,1970-01-01 00:00:00.000001255,c8aeacdde6e949a3bb927a9072770d1c
model,LSTM (transformer alternative),fc98c827b2ea44b486fc30ed3f667179
days_to_predict,30,fc98c827b2ea44b486fc30ed3f667179
last_date,1970-01-01 00:00:00.000001255,fc98c827b2ea44b486fc30ed3f667179
model_1,MonteCarlo,190f7ec4d04e4223a21ad8f9b76f0ccb
model_2,ARIMA,190f7ec4d04e4223a21ad8f9b76f0ccb
model_3,LSTM,190f7ec4d04e4223a21ad8f9b76f0ccb
stock,AAPL,0cd155482ac94320acc154f09f844e4b
year_back,5,0cd155482ac94320acc154f09f844e4b
start_date,2020-07-20,0cd155482ac94320acc154f09f844e4b
end_date,2025-07-20,0cd155482ac94320acc154f09f844e4b
n_days,30,d1aac5af357240c9b47649c8dd36f13d
n_simulations,1000,d1aac5af357240c9b47649c8dd36f13d
expected_price,211.26970837943654,d1aac5af357240c9b47649c8dd36f13d
mu,0.0006314187406579893,d1aac5af357240c9b47649c8dd36f13d
sigma,0.018726956685574475,d1aac5af357240c9b47649c8dd36f13d
model,"ARIMA(5,1,0)",59eac766e9e64bbb94cb9e9527c20881
n_days,30,59eac766e9e64bbb94cb9e9527c20881
last_date,1970-01-01 00:00:00.000001255,59eac766e9e64bbb94cb9e9527c20881
model,LSTM (transformer alternative),9ad76da311284fff8025747fa30e4ebc
days_to_predict,30,9ad76da311284fff8025747fa30e4ebc
last_date,1970-01-01 00:00:00.000001255,9ad76da311284fff8025747fa30e4ebc
model_1,MonteCarlo,8fed7a962b694594913a64517d3a8055
model_2,ARIMA,8fed7a962b694594913a64517d3a8055
model_3,LSTM,8fed7a962b694594913a64517d3a8055
stock,AAPL,099bc0298b1e467ebb84f9f2e4d164ef
year_back,5,099bc0298b1e467ebb84f9f2e4d164ef
start_date,2020-07-20,099bc0298b1e467ebb84f9f2e4d164ef
end_date,2025-07-20,099bc0298b1e467ebb84f9f2e4d164ef
n_days,30,33a8e19b51154d95b95abee3754bf3c3
n_simulations,1000,33a8e19b51154d95b95abee3754bf3c3
expected_price,211.29277817444682,33a8e19b51154d95b95abee3754bf3c3
mu,0.0006314187406579907,33a8e19b51154d95b95abee3754bf3c3
sigma,0.01872696828236838,33a8e19b51154d95b95abee3754bf3c3
model,"ARIMA(5,1,0)",bd7334aa48554d6d8666a29cc966dbb6
n_days,30,bd7334aa48554d6d8666a29cc966dbb6
last_date,1970-01-01 00:00:00.000001255,bd7334aa48554d6d8666a29cc966dbb6
model,LSTM (transformer alternative),e2b27b7462d94c33b265a257a3a91044
days_to_predict,30,e2b27b7462d94c33b265a257a3a91044
last_date,1970-01-01 00:00:00.000001255,e2b27b7462d94c33b265a257a3a91044
model_1,MonteCarlo,5a1cb67a0bab4c929a37032c596a4a22
model_2,ARIMA,5a1cb67a0bab4c929a37032c596a4a22
model_3,LSTM,5a1cb67a0bab4c929a37032c596a4a22
