run_uuid,name,source_type,source_name,entry_point_name,user_id,status,start_time,end_time,source_version,lifecycle_stage,artifact_uri,experiment_id,deleted_time
eca7b6bd8ef043cc9bfd1c286ee0f5bb,extract_AAPL_20250720_165126,UNKNOWN,,,root,FINISHED,1753030286723,1753030287730,,active,/mlflow_data/mlruns/1/eca7b6bd8ef043cc9bfd1c286ee0f5bb/artifacts,1,
ff0c1281af644c209344596ca08a0d6e,montecarlo_30d_1000s,UNKNOWN,,,root,FINISHED,1753030295610,1753030296178,,active,/mlflow_data/mlruns/2/ff0c1281af644c209344596ca08a0d6e/artifacts,2,
3f820750fac649b7b74c17b1cf577291,Run_1970-01-01,UNKNOWN,,,root,FINISHED,1753030297084,1753030303418,,active,/mlflow_data/mlruns/3/3f820750fac649b7b74c17b1cf577291/artifacts,3,
48273fa8a1ff46f48faa28b7a4dd72e8,Run_1970-01-01,UNKNOWN,,,root,FINISHED,1753030318350,1753030327869,,active,/mlflow_data/mlruns/4/48273fa8a1ff46f48faa28b7a4dd72e8/artifacts,4,
af3fad5e7f58499b818b08f715a03591,amusing-shrimp-281,UNKNOWN,,,root,FINISHED,1753030334539,1753030334908,,active,/mlflow_data/mlruns/5/af3fad5e7f58499b818b08f715a03591/artifacts,5,
0b93b36f8e1240319a2ac983b8f29575,extract_AAPL_20250720_184506,UNKNOWN,,,root,FINISHED,1753037106785,1753037107671,,active,mlflow-artifacts:/1/0b93b36f8e1240319a2ac983b8f29575/artifacts,1,
a44d24dcbe064051b41f969cafeb0437,montecarlo_30d_1000s,UNKNOWN,,,root,FINISHED,1753037115307,1753037116510,,active,mlflow-artifacts:/2/a44d24dcbe064051b41f969cafeb0437/artifacts,2,
a5a39e96571f431c81a0f3c568c9c568,Run_1970-01-01,UNKNOWN,,,root,FINISHED,1753037115913,1753037123060,,active,mlflow-artifacts:/3/a5a39e96571f431c81a0f3c568c9c568/artifacts,3,
84407ce9c4d24dbf8205d96a6ae78979,Run_1970-01-01,UNKNOWN,,,root,FINISHED,1753037142347,1753037152445,,active,mlflow-artifacts:/4/84407ce9c4d24dbf8205d96a6ae78979/artifacts,4,
c27aa6c1f5f343cea5e394aa42300e3d,hilarious-smelt-247,UNKNOWN,,,root,FINISHED,1753037154623,1753037154915,,active,mlflow-artifacts:/5/c27aa6c1f5f343cea5e394aa42300e3d/artifacts,5,
260869880a3148149949631816a19515,extract_AAPL_20250720_185553,UNKNOWN,,,root,FINISHED,1753037754042,1753037755997,,active,mlflow-artifacts:/6/260869880a3148149949631816a19515/artifacts,6,
4c73f849621e42329f0a494190e21389,montecarlo_30d_1000s,UNKNOWN,,,root,FINISHED,1753037761869,1753037762532,,active,mlflow-artifacts:/7/4c73f849621e42329f0a494190e21389/artifacts,7,
c8aeacdde6e949a3bb927a9072770d1c,Run_1970-01-01,UNKNOWN,,,root,FINISHED,1753037762080,1753037767409,,active,mlflow-artifacts:/8/c8aeacdde6e949a3bb927a9072770d1c/artifacts,8,
fc98c827b2ea44b486fc30ed3f667179,Run_1970-01-01,UNKNOWN,,,root,FINISHED,1753037786181,1753037796186,,active,mlflow-artifacts:/9/fc98c827b2ea44b486fc30ed3f667179/artifacts,9,
190f7ec4d04e4223a21ad8f9b76f0ccb,mysterious-skunk-909,UNKNOWN,,,root,FINISHED,1753037799637,1753037800144,,active,mlflow-artifacts:/5/190f7ec4d04e4223a21ad8f9b76f0ccb/artifacts,5,
0cd155482ac94320acc154f09f844e4b,extract_AAPL_20250720_195429,UNKNOWN,,,root,FINISHED,1753041269833,1753041270228,,active,mlflow-artifacts:/10/0cd155482ac94320acc154f09f844e4b/artifacts,10,
d1aac5af357240c9b47649c8dd36f13d,montecarlo_30d_1000s,UNKNOWN,,,root,FINISHED,1753041276769,1753041276134,,active,mlflow-artifacts:/11/d1aac5af357240c9b47649c8dd36f13d/artifacts,11,
59eac766e9e64bbb94cb9e9527c20881,Run_1970-01-01,UNKNOWN,,,root,FINISHED,1753041277424,1753041285629,,active,mlflow-artifacts:/12/59eac766e9e64bbb94cb9e9527c20881/artifacts,12,
9ad76da311284fff8025747fa30e4ebc,Run_1970-01-01,UNKNOWN,,,root,FINISHED,1753041308531,1753041321599,,active,mlflow-artifacts:/13/9ad76da311284fff8025747fa30e4ebc/artifacts,13,
8fed7a962b694594913a64517d3a8055,able-tern-30,UNKNOWN,,,root,FINISHED,1753041333459,1753041334013,,active,mlflow-artifacts:/5/8fed7a962b694594913a64517d3a8055/artifacts,5,
