key,value,run_uuid
mlflow.user,root,1e7a012cf5ed42c59ddd1c08a360a9c2
mlflow.source.name,/usr/local/bin/mage,1e7a012cf5ed42c59ddd1c08a360a9c2
mlflow.source.type,LOCAL,1e7a012cf5ed42c59ddd1c08a360a9c2
mlflow.runName,extract_AAPL_20250720_154036,1e7a012cf5ed42c59ddd1c08a360a9c2
mlflow.user,root,ff81b91685ab4909b6f1c4ba5f047961
mlflow.source.name,/usr/local/bin/mage,ff81b91685ab4909b6f1c4ba5f047961
mlflow.source.type,LOCAL,ff81b91685ab4909b6f1c4ba5f047961
mlflow.runName,montecarlo_30d_1000s,ff81b91685ab4909b6f1c4ba5f047961
mlflow.user,root,40f165839c744a088e6ad4ccc68c451d
mlflow.source.name,/usr/local/bin/mage,40f165839c744a088e6ad4ccc68c451d
mlflow.source.type,LOCAL,40f165839c744a088e6ad4ccc68c451d
mlflow.runName,Run_1970-01-01,40f165839c744a088e6ad4ccc68c451d
mlflow.log-model.history,"[{""run_id"": ""40f165839c744a088e6ad4ccc68c451d"", ""artifact_path"": ""arima_model"", ""utc_time_created"": ""2025-07-20 15:40:46.760115"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.statsmodels"", ""python_version"": ""3.10.14"", ""data"": ""model.statsmodels"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""statsmodels"": {""statsmodels_version"": ""0.14.5"", ""data"": ""model.statsmodels"", ""code"": null}}, ""model_uuid"": ""eab519047162482b8aa7a9f17534753a"", ""mlflow_version"": ""2.12.1"", ""model_size_bytes"": 8521732}]",40f165839c744a088e6ad4ccc68c451d
mlflow.user,root,4d030e3cc1254582b00186db450ff7c0
mlflow.source.name,/usr/local/bin/mage,4d030e3cc1254582b00186db450ff7c0
mlflow.source.type,LOCAL,4d030e3cc1254582b00186db450ff7c0
mlflow.runName,Run_1970-01-01,4d030e3cc1254582b00186db450ff7c0
mlflow.log-model.history,"[{""run_id"": ""4d030e3cc1254582b00186db450ff7c0"", ""artifact_path"": ""lstm_model"", ""utc_time_created"": ""2025-07-20 15:41:12.485185"", ""flavors"": {""keras"": {""data"": ""data"", ""keras_version"": ""3.10.0"", ""keras_backend"": ""tensorflow"", ""save_exported_model"": false}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.14"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}}, ""model_uuid"": ""fd579339305c470a83510abe98775c6b"", ""mlflow_version"": ""2.12.1"", ""model_size_bytes"": 424653}]",4d030e3cc1254582b00186db450ff7c0
mlflow.user,root,1bb0b5ef40664323b51c6b030dcbde8b
mlflow.source.name,/usr/local/bin/mage,1bb0b5ef40664323b51c6b030dcbde8b
mlflow.source.type,LOCAL,1bb0b5ef40664323b51c6b030dcbde8b
mlflow.runName,upbeat-newt-545,1bb0b5ef40664323b51c6b030dcbde8b
mlflow.user,root,eca7b6bd8ef043cc9bfd1c286ee0f5bb
mlflow.source.name,/usr/local/bin/mage,eca7b6bd8ef043cc9bfd1c286ee0f5bb
mlflow.source.type,LOCAL,eca7b6bd8ef043cc9bfd1c286ee0f5bb
mlflow.runName,extract_AAPL_20250720_165126,eca7b6bd8ef043cc9bfd1c286ee0f5bb
mlflow.user,root,ff0c1281af644c209344596ca08a0d6e
mlflow.source.name,/usr/local/bin/mage,ff0c1281af644c209344596ca08a0d6e
mlflow.source.type,LOCAL,ff0c1281af644c209344596ca08a0d6e
mlflow.runName,montecarlo_30d_1000s,ff0c1281af644c209344596ca08a0d6e
mlflow.user,root,3f820750fac649b7b74c17b1cf577291
mlflow.source.name,/usr/local/bin/mage,3f820750fac649b7b74c17b1cf577291
mlflow.source.type,LOCAL,3f820750fac649b7b74c17b1cf577291
mlflow.runName,Run_1970-01-01,3f820750fac649b7b74c17b1cf577291
mlflow.log-model.history,"[{""run_id"": ""3f820750fac649b7b74c17b1cf577291"", ""artifact_path"": ""arima_model"", ""utc_time_created"": ""2025-07-20 16:51:37.303644"", ""flavors"": {""python_function"": {""loader_module"": ""mlflow.statsmodels"", ""python_version"": ""3.10.14"", ""data"": ""model.statsmodels"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}, ""statsmodels"": {""statsmodels_version"": ""0.14.5"", ""data"": ""model.statsmodels"", ""code"": null}}, ""model_uuid"": ""84619a725b484a0f85c46a49e0088d9a"", ""mlflow_version"": ""2.12.1"", ""model_size_bytes"": 6823684}]",3f820750fac649b7b74c17b1cf577291
mlflow.user,root,48273fa8a1ff46f48faa28b7a4dd72e8
mlflow.source.name,/usr/local/bin/mage,48273fa8a1ff46f48faa28b7a4dd72e8
mlflow.source.type,LOCAL,48273fa8a1ff46f48faa28b7a4dd72e8
mlflow.runName,Run_1970-01-01,48273fa8a1ff46f48faa28b7a4dd72e8
mlflow.log-model.history,"[{""run_id"": ""48273fa8a1ff46f48faa28b7a4dd72e8"", ""artifact_path"": ""lstm_model"", ""utc_time_created"": ""2025-07-20 16:51:58.550929"", ""flavors"": {""keras"": {""data"": ""data"", ""keras_version"": ""3.10.0"", ""keras_backend"": ""tensorflow"", ""save_exported_model"": false}, ""python_function"": {""loader_module"": ""mlflow.keras"", ""python_version"": ""3.10.14"", ""env"": {""conda"": ""conda.yaml"", ""virtualenv"": ""python_env.yaml""}}}, ""model_uuid"": ""9378c8a6b44a451bbe94fc868e8c97db"", ""mlflow_version"": ""2.12.1"", ""model_size_bytes"": 424653}]",48273fa8a1ff46f48faa28b7a4dd72e8
